Категория: „Всички категории“

Седмица,Minimalist: (В цял свят)
2020-04-26,85
2020-05-03,79
2020-05-10,80
2020-05-17,78
2020-05-24,79
2020-05-31,75
2020-06-07,77
2020-06-14,79
2020-06-21,81
2020-06-28,80
2020-07-05,80
2020-07-12,85
2020-07-19,84
2020-07-26,86
2020-08-02,82
2020-08-09,85
2020-08-16,82
2020-08-23,83
2020-08-30,85
2020-09-06,84
2020-09-13,86
2020-09-20,94
2020-09-27,82
2020-10-04,79
2020-10-11,74
2020-10-18,77
2020-10-25,77
2020-11-01,71
2020-11-08,81
2020-11-15,78
2020-11-22,83
2020-11-29,80
2020-12-06,89
2020-12-13,82
2020-12-20,89
2020-12-27,93
2021-01-03,92
2021-01-10,92
2021-01-17,88
2021-01-24,85
2021-01-31,85
2021-02-07,77
2021-02-14,78
2021-02-21,78
2021-02-28,82
2021-03-07,73
2021-03-14,75
2021-03-21,76
2021-03-28,76
2021-04-04,76
2021-04-11,76
2021-04-18,76
2021-04-25,77
2021-05-02,80
2021-05-09,76
2021-05-16,78
2021-05-23,82
2021-05-30,79
2021-06-06,79
2021-06-13,82
2021-06-20,79
2021-06-27,78
2021-07-04,79
2021-07-11,83
2021-07-18,81
2021-07-25,77
2021-08-01,80
2021-08-08,77
2021-08-15,80
2021-08-22,75
2021-08-29,75
2021-09-05,75
2021-09-12,80
2021-09-19,83
2021-09-26,76
2021-10-03,79
2021-10-10,76
2021-10-17,70
2021-10-24,73
2021-10-31,74
2021-11-07,78
2021-11-14,77
2021-11-21,79
2021-11-28,80
2021-12-05,80
2021-12-12,74
2021-12-19,74
2021-12-26,81
2022-01-02,93
2022-01-09,89
2022-01-16,82
2022-01-23,93
2022-01-30,87
2022-02-06,87
2022-02-13,89
2022-02-20,89
2022-02-27,90
2022-03-06,88
2022-03-13,84
2022-03-20,89
2022-03-27,93
2022-04-03,89
2022-04-10,91
2022-04-17,91
2022-04-24,91
2022-05-01,89
2022-05-08,84
2022-05-15,82
2022-05-22,81
2022-05-29,82
2022-06-05,81
2022-06-12,82
2022-06-19,83
2022-06-26,80
2022-07-03,86
2022-07-10,86
2022-07-17,85
2022-07-24,82
2022-07-31,86
2022-08-07,86
2022-08-14,85
2022-08-21,82
2022-08-28,84
2022-09-04,82
2022-09-11,88
2022-09-18,83
2022-09-25,82
2022-10-02,82
2022-10-09,80
2022-10-16,76
2022-10-23,82
2022-10-30,81
2022-11-06,82
2022-11-13,80
2022-11-20,82
2022-11-27,81
2022-12-04,89
2022-12-11,85
2022-12-18,83
2022-12-25,90
2023-01-01,90
2023-01-08,90
2023-01-15,89
2023-01-22,89
2023-01-29,93
2023-02-05,86
2023-02-12,83
2023-02-19,88
2023-02-26,87
2023-03-05,84
2023-03-12,83
2023-03-19,90
2023-03-26,90
2023-04-02,89
2023-04-09,90
2023-04-16,86
2023-04-23,88
2023-04-30,90
2023-05-07,86
2023-05-14,81
2023-05-21,84
2023-05-28,81
2023-06-04,84
2023-06-11,84
2023-06-18,84
2023-06-25,85
2023-07-02,84
2023-07-09,85
2023-07-16,86
2023-07-23,86
2023-07-30,84
2023-08-06,87
2023-08-13,87
2023-08-20,81
2023-08-27,89
2023-09-03,83
2023-09-10,81
2023-09-17,81
2023-09-24,79
2023-10-01,81
2023-10-08,78
2023-10-15,78
2023-10-22,83
2023-10-29,77
2023-11-05,78
2023-11-12,80
2023-11-19,87
2023-11-26,85
2023-12-03,85
2023-12-10,85
2023-12-17,81
2023-12-24,87
2023-12-31,92
2024-01-07,93
2024-01-14,89
2024-01-21,90
2024-01-28,87
2024-02-04,95
2024-02-11,91
2024-02-18,93
2024-02-25,90
2024-03-03,91
2024-03-10,88
2024-03-17,88
2024-03-24,90
2024-03-31,91
2024-04-07,87
2024-04-14,83
2024-04-21,83
2024-04-28,86
2024-05-05,81
2024-05-12,81
2024-05-19,82
2024-05-26,82
2024-06-02,79
2024-06-09,83
2024-06-16,84
2024-06-23,77
2024-06-30,83
2024-07-07,86
2024-07-14,84
2024-07-21,85
2024-07-28,84
2024-08-04,84
2024-08-11,91
2024-08-18,86
2024-08-25,85
2024-09-01,89
2024-09-08,82
2024-09-15,84
2024-09-22,85
2024-09-29,83
2024-10-06,82
2024-10-13,82
2024-10-20,83
2024-10-27,82
2024-11-03,84
2024-11-10,91
2024-11-17,94
2024-11-24,95
2024-12-01,97
2024-12-08,89
2024-12-15,89
2024-12-22,94
2024-12-29,100
2025-01-05,93
2025-01-12,91
2025-01-19,96
2025-01-26,90
2025-02-02,91
2025-02-09,89
2025-02-16,90
2025-02-23,91
2025-03-02,97
2025-03-09,90
2025-03-16,93
2025-03-23,90
2025-03-30,92
2025-04-06,88
2025-04-13,90
2025-04-20,96
2025-04-27,92
