Категория: „Всички категории“

Ден,Old Money: (В цял свят)
2025-02-01,100
2025-02-02,87
2025-02-03,76
2025-02-04,75
2025-02-05,76
2025-02-06,72
2025-02-07,81
2025-02-08,81
2025-02-09,88
2025-02-10,75
2025-02-11,74
2025-02-12,74
2025-02-13,74
2025-02-14,72
2025-02-15,79
2025-02-16,85
2025-02-17,73
2025-02-18,74
2025-02-19,77
2025-02-20,77
2025-02-21,75
2025-02-22,84
2025-02-23,85
2025-02-24,81
2025-02-25,80
2025-02-26,77
2025-02-27,78
2025-02-28,75
2025-03-01,81
2025-03-02,82
2025-03-03,77
2025-03-04,75
2025-03-05,72
2025-03-06,76
2025-03-07,81
2025-03-08,84
2025-03-09,82
2025-03-10,82
2025-03-11,73
2025-03-12,77
2025-03-13,78
2025-03-14,76
2025-03-15,82
2025-03-16,87
2025-03-17,75
2025-03-18,75
2025-03-19,75
2025-03-20,81
2025-03-21,80
2025-03-22,91
2025-03-23,96
2025-03-24,81
2025-03-25,77
2025-03-26,78
2025-03-27,82
2025-03-28,80
2025-03-29,91
2025-03-30,85
2025-03-31,79
2025-04-01,82
2025-04-02,78
2025-04-03,76
2025-04-04,86
2025-04-05,87
2025-04-06,95
2025-04-07,79
2025-04-08,78
2025-04-09,77
2025-04-10,75
2025-04-11,75
2025-04-12,84
2025-04-13,89
2025-04-14,83
2025-04-15,84
2025-04-16,78
2025-04-17,78
2025-04-18,84
2025-04-19,83
2025-04-20,86
2025-04-21,81
2025-04-22,76
2025-04-23,72
2025-04-24,75
2025-04-25,80
2025-04-26,84
2025-04-27,90
2025-04-28,79
2025-04-29,79
2025-04-30,78
2025-05-01,77
