Категория: „Всички категории“

Седмица,Y2K: (В цял свят)
2020-04-26,10
2020-05-03,10
2020-05-10,23
2020-05-17,13
2020-05-24,11
2020-05-31,10
2020-06-07,10
2020-06-14,12
2020-06-21,12
2020-06-28,11
2020-07-05,12
2020-07-12,13
2020-07-19,13
2020-07-26,13
2020-08-02,12
2020-08-09,13
2020-08-16,12
2020-08-23,12
2020-08-30,11
2020-09-06,12
2020-09-13,13
2020-09-20,12
2020-09-27,10
2020-10-04,10
2020-10-11,10
2020-10-18,10
2020-10-25,10
2020-11-01,9
2020-11-08,10
2020-11-15,11
2020-11-22,12
2020-11-29,11
2020-12-06,12
2020-12-13,11
2020-12-20,13
2020-12-27,17
2021-01-03,14
2021-01-10,14
2021-01-17,14
2021-01-24,14
2021-01-31,15
2021-02-07,12
2021-02-14,13
2021-02-21,13
2021-02-28,14
2021-03-07,13
2021-03-14,13
2021-03-21,14
2021-03-28,15
2021-04-04,15
2021-04-11,15
2021-04-18,15
2021-04-25,15
2021-05-02,14
2021-05-09,16
2021-05-16,16
2021-05-23,16
2021-05-30,17
2021-06-06,16
2021-06-13,15
2021-06-20,17
2021-06-27,17
2021-07-04,19
2021-07-11,21
2021-07-18,20
2021-07-25,19
2021-08-01,19
2021-08-08,19
2021-08-15,20
2021-08-22,19
2021-08-29,18
2021-09-05,18
2021-09-12,26
2021-09-19,25
2021-09-26,21
2021-10-03,22
2021-10-10,20
2021-10-17,22
2021-10-24,20
2021-10-31,18
2021-11-07,19
2021-11-14,18
2021-11-21,18
2021-11-28,18
2021-12-05,20
2021-12-12,19
2021-12-19,20
2021-12-26,26
2022-01-02,25
2022-01-09,22
2022-01-16,20
2022-01-23,22
2022-01-30,26
2022-02-06,23
2022-02-13,24
2022-02-20,25
2022-02-27,30
2022-03-06,34
2022-03-13,31
2022-03-20,28
2022-03-27,27
2022-04-03,29
2022-04-10,30
2022-04-17,31
2022-04-24,31
2022-05-01,30
2022-05-08,31
2022-05-15,33
2022-05-22,32
2022-05-29,33
2022-06-05,33
2022-06-12,33
2022-06-19,34
2022-06-26,35
2022-07-03,36
2022-07-10,35
2022-07-17,40
2022-07-24,41
2022-07-31,41
2022-08-07,41
2022-08-14,43
2022-08-21,44
2022-08-28,42
2022-09-04,43
2022-09-11,44
2022-09-18,44
2022-09-25,43
2022-10-02,43
2022-10-09,42
2022-10-16,41
2022-10-23,43
2022-10-30,39
2022-11-06,42
2022-11-13,41
2022-11-20,39
2022-11-27,40
2022-12-04,41
2022-12-11,43
2022-12-18,42
2022-12-25,51
2023-01-01,51
2023-01-08,55
2023-01-15,65
2023-01-22,63
2023-01-29,59
2023-02-05,56
2023-02-12,53
2023-02-19,54
2023-02-26,51
2023-03-05,52
2023-03-12,48
2023-03-19,50
2023-03-26,51
2023-04-02,50
2023-04-09,90
2023-04-16,54
2023-04-23,52
2023-04-30,50
2023-05-07,46
2023-05-14,49
2023-05-21,49
2023-05-28,48
2023-06-04,48
2023-06-11,52
2023-06-18,48
2023-06-25,50
2023-07-02,55
2023-07-09,50
2023-07-16,53
2023-07-23,55
2023-07-30,53
2023-08-06,54
2023-08-13,53
2023-08-20,50
2023-08-27,51
2023-09-03,51
2023-09-10,51
2023-09-17,51
2023-09-24,53
2023-10-01,53
2023-10-08,54
2023-10-15,57
2023-10-22,52
2023-10-29,51
2023-11-05,50
2023-11-12,51
2023-11-19,52
2023-11-26,52
2023-12-03,55
2023-12-10,54
2023-12-17,49
2023-12-24,51
2023-12-31,56
2024-01-07,49
2024-01-14,51
2024-01-21,50
2024-01-28,51
2024-02-04,50
2024-02-11,50
2024-02-18,53
2024-02-25,52
2024-03-03,53
2024-03-10,52
2024-03-17,52
2024-03-24,54
2024-03-31,56
2024-04-07,52
2024-04-14,54
2024-04-21,57
2024-04-28,55
2024-05-05,51
2024-05-12,50
2024-05-19,53
2024-05-26,56
2024-06-02,53
2024-06-09,53
2024-06-16,51
2024-06-23,51
2024-06-30,52
2024-07-07,55
2024-07-14,66
2024-07-21,65
2024-07-28,68
2024-08-04,66
2024-08-11,73
2024-08-18,100
2024-08-25,77
2024-09-01,64
2024-09-08,63
2024-09-15,66
2024-09-22,59
2024-09-29,61
2024-10-06,57
2024-10-13,54
2024-10-20,61
2024-10-27,53
2024-11-03,53
2024-11-10,63
2024-11-17,61
2024-11-24,64
2024-12-01,86
2024-12-08,90
2024-12-15,72
2024-12-22,82
2024-12-29,80
2025-01-05,59
2025-01-12,56
2025-01-19,56
2025-01-26,57
2025-02-02,54
2025-02-09,52
2025-02-16,55
2025-02-23,54
2025-03-02,52
2025-03-09,53
2025-03-16,56
2025-03-23,58
2025-03-30,66
2025-04-06,69
2025-04-13,64
2025-04-20,57
2025-04-27,55
